term,beta,se,t,p,lo95,hi95,outcome
dm_self,-0.006674168253055779,0.0015138156885327982,-4.408838079571255,0.14199379928622102,-0.025909020324386776,0.012560683818275218,RA
comorb_count,-0.0006726703979138549,0.0008510481787999288,-0.7904022529751416,0.574189737059831,-0.011486262798094359,0.010140922002266649,RA
phq9_score,-0.0002131781990463294,0.00038018958181890394,-0.5607155199425553,0.6746663787123932,-0.005043944864197963,0.004617588466105304,RA
sinus_ever,-0.007947635526145285,0.006814167542874968,-1.1663399052251795,0.4512136140542382,-0.09452984343251108,0.07863457238022051,RA
head_injury,-0.0022949098457406836,0.0023136624586613664,-0.9918948363230422,0.5025904374483483,-0.03169277873589332,0.02710295904441196,RA
n_meds,0.00021704823107460136,0.00030671666143803917,0.7076506051447354,0.6079427010777076,-0.003680156465153102,0.004114252927302305,RA
(Intercept),377.5161197373195,24.934021286866574,15.140603089809966,0.04198620617529203,60.69934037025479,694.3328991043843,total_sleep_time_min
od_binary,-2.7532001687569334,0.7848693039620568,-3.507845388854744,0.17679489952847738,-12.725910236037755,7.219509898523889,total_sleep_time_min
age,-0.3746951927069482,0.2555821993184252,-1.4660457328646832,0.3810907834237811,-3.622174944168667,2.8727845587547707,total_sleep_time_min
female,4.638371939441491,8.716451106873302,0.5321399595511908,0.688675253225906,-106.11464039734722,115.39138427623021,total_sleep_time_min
